date,mato_comments,other_comments,prs_created,prs_updated
2026-03-18,0,23,40,11
2026-03-19,0,74,106,50
2026-03-20,0,82,137,50
2026-03-21,1,33,89,42
2026-03-22,0,39,101,24
2026-03-23,7,55,96,50
2026-03-24,3,84,77,51
2026-03-25,5,75,125,47
2026-03-26,16,60,111,21
2026-03-27,4,99,72,52
2026-03-28,6,57,51,25
2026-03-29,2,41,61,32
2026-03-30,1,54,50,26
2026-03-31,1,39,35,12
2026-04-01,0,20,40,12
2026-04-02,2,37,35,17
2026-04-03,10,25,35,15
2026-04-04,1,30,49,39
2026-04-05,2,30,35,24
2026-04-06,6,42,24,19
2026-04-07,2,17,30,12
2026-04-08,0,14,27,9
2026-04-09,3,25,29,23
2026-04-10,5,17,14,14
2026-04-11,548,63,26,460
2026-04-12,344,43,24,321
2026-04-13,0,31,17,35
2026-04-14,0,37,23,49
2026-04-15,0,8,26,35
2026-04-16,2,4,10,18
